"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Mr.Trump's little jaunts: the tab arrives: https://t.co/7fmqaEPE3Y",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655389704318977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DraytonBird",0,FALSE,FALSE,NA,NA
"2","RT @RVAwonk: This is insane --&gt; Secret Service out of money to pay agents because of Trump's frequent travel, large family https://t.co/kV2…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655389393764352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gilbert1dean",2009,TRUE,FALSE,NA,NA
"3","DJT Just Did Away With Another STUPID Law Implemented By Obama &amp;#8211; And The National Parks Service is CHEERING!: https://t.co/TkaV6HPnH7",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655389351997444",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoanneColombo",0,FALSE,FALSE,NA,NA
"4","RT @funder: @Broinchief @JUMPCUTT The ""Mike Pence is worse"" argument defends Donald Trump. Stop saying that. Pence will never be as bad as…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655389351956480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Deplorablefrog1",54,TRUE,FALSE,NA,NA
"5","@allie_vandee If you don't want to hear other people's opinions about controversial political topics don't wear a t… https://t.co/7IbpMlae3h",FALSE,0,"allie_vandee",2017-08-21 15:32:14,TRUE,"898945234909790210","899655388773007360","2596082115","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kehhlee",0,FALSE,FALSE,NA,NA
"6","RT @davidallengreen: One of the best ongoing commentators on things Trump.  Well worth following. https://t.co/H9Obd91YhJ",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388697468928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrexitStudies",9,TRUE,FALSE,NA,NA
"7","RT @christinawilkie: Source: ""Clinton treated USSS agents like friends. Bush treated them w great respect. Obama, like family. Trump treats…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388668325888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peanut29e17",2281,TRUE,FALSE,NA,NA
"8","RT @NatashaBertrand: A past tweet for every occasion.  Trump's travel nearly every weekend to his golf clubs has nearly bankrupt the Secret…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388651560960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__jbw__",353,TRUE,FALSE,NA,NA
"9","RT @Rschooley: So when the Secret Service goes to congress for more funding, can we get a breakdown of how much has gone to Trump businesse…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388621963264",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IAmJoeTrudeau",422,TRUE,FALSE,NA,NA
"10","RT @funder: Trump's Secret Service detail will be replaced by giant inflatable Trump animals like #TrumpChicken &amp; #TrumpRat. #TrumpResign h…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388613812224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waterland4",94,TRUE,FALSE,NA,NA
"11","RT @OMGno2trump: @mthsr1 There wasn't room for ""so called"" Christians or Christian conservatives.  But I'm shocked that no churches are den…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388559101954",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Meliorist59",2,TRUE,FALSE,NA,NA
"12","RT @RWPUSA: Standing up for Christ and against racism

Evangelical students returning university diplomas to protest Trump https://t.co/57J…",FALSE,0,NA,2017-08-21 15:32:14,FALSE,NA,"899655388446031872",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","halest793",1520,TRUE,FALSE,NA,NA
